,filename,name
0,faces_2/080_koizumi_itsuki/face_313_336_66.png,koizumi itsuki
1,faces_2/080_koizumi_itsuki/face_818_597_49.png,koizumi itsuki
2,faces_2/080_koizumi_itsuki/face_130_271_79.png,koizumi itsuki
3,faces_2/080_koizumi_itsuki/face_488_567_47.png,koizumi itsuki
4,faces_2/080_koizumi_itsuki/face_457_108_68.png,koizumi itsuki
5,faces_2/080_koizumi_itsuki/face_160_38_67.png,koizumi itsuki
6,faces_2/080_koizumi_itsuki/face_155_381_75.png,koizumi itsuki
7,faces_2/080_koizumi_itsuki/face_321_635_128.png,koizumi itsuki
8,faces_2/080_koizumi_itsuki/face_207_190_121.png,koizumi itsuki
9,faces_2/080_koizumi_itsuki/face_62_103_34.png,koizumi itsuki
10,faces_2/080_koizumi_itsuki/face_588_752_45.png,koizumi itsuki
11,faces_2/080_koizumi_itsuki/face_160_70_139.png,koizumi itsuki
12,faces_2/080_koizumi_itsuki/face_925_209_58.png,koizumi itsuki
13,faces_2/080_koizumi_itsuki/face_722_180_46.png,koizumi itsuki
14,faces_2/080_koizumi_itsuki/face_1133_66_29.png,koizumi itsuki
15,faces_2/080_koizumi_itsuki/face_290_477_4.png,koizumi itsuki
16,faces_2/080_koizumi_itsuki/face_1257_174_109.png,koizumi itsuki
17,faces_2/080_koizumi_itsuki/face_671_231_116.png,koizumi itsuki
18,faces_2/080_koizumi_itsuki/face_1108_65_130.png,koizumi itsuki
19,faces_2/080_koizumi_itsuki/face_1177_190_103.png,koizumi itsuki
20,faces_2/080_koizumi_itsuki/face_286_209_124.png,koizumi itsuki
21,faces_2/080_koizumi_itsuki/face_726_412_31.png,koizumi itsuki
22,faces_2/080_koizumi_itsuki/face_250_545_15.png,koizumi itsuki
23,faces_2/080_koizumi_itsuki/face_481_698_136.png,koizumi itsuki
24,faces_2/080_koizumi_itsuki/face_76_146_56.png,koizumi itsuki
25,faces_2/080_koizumi_itsuki/face_517_174_142.png,koizumi itsuki
26,faces_2/080_koizumi_itsuki/face_137_91_134.png,koizumi itsuki
